patientid	celltype	predicted_proportion	class	true_proportion	sample_size
sc5rJUQ053	B cells	0.10800819766724	s1 10000	0.0947556615017878	10000
sc5rJUQ053	Cycling cells	0.0307391124869986	s1 10000	0.0458879618593564	10000
sc5rJUQ053	Endothelial cells	0.0078815863053955	s1 10000	0.0131108462455304	10000
sc5rJUQ053	Epithelial cells	0.0331661019747561	s1 10000	0.124553039332539	10000
sc5rJUQ053	Mesenchymal cells	0.0957405058396181	s1 10000	0.0512514898688915	10000
sc5rJUQ053	Myeloid cells	0.108692883047977	s1 10000	0.0697258641239571	10000
sc5rJUQ053	Myoepithelial cells	0.0390038181317606	s1 10000	0.0518474374255066	10000
sc5rJUQ053	T cells	0.576767794546254	s1 10000	0.548867699642432	10000
sc5rJUQ058	B cells	0.0007411860073879	s1 10000	0.028436018957346	10000
sc5rJUQ058	Cycling cells	0.0246654461467936	s1 10000	0.018957345971564	10000
sc5rJUQ058	Endothelial cells	0.00589739210331383	s1 10000	0.014218009478673	10000
sc5rJUQ058	Epithelial cells	0	s1 10000	0.028436018957346	10000
sc5rJUQ058	Mesenchymal cells	0.00541078863322096	s1 10000	0.00947867298578199	10000
sc5rJUQ058	Myeloid cells	0.208335592230084	s1 10000	0.232227488151659	10000
sc5rJUQ058	Myoepithelial cells	0.0166076964504717	s1 10000	0.004739336492891	10000
sc5rJUQ058	T cells	0.738341898428728	s1 10000	0.663507109004739	10000
sc5rJUQ060	B cells	0.0671518083918926	s1 10000	0.169520547945206	10000
sc5rJUQ060	Cycling cells	0.0138358941755401	s1 10000	0.00570776255707763	10000
sc5rJUQ060	Endothelial cells	0.0123644958941898	s1 10000	0.00570776255707763	10000
sc5rJUQ060	Epithelial cells	0	s1 10000	0.00742009132420091	10000
sc5rJUQ060	Mesenchymal cells	0.00822217149668891	s1 10000	0.00570776255707763	10000
sc5rJUQ060	Myeloid cells	0.022392005070953	s1 10000	0.0148401826484018	10000
sc5rJUQ060	Myoepithelial cells	0.0112552350273661	s1 10000	0.00342465753424658	10000
sc5rJUQ060	T cells	0.86477838994337	s1 10000	0.787671232876712	10000
sc5rJUQ064	B cells	0	s1 10000	0.00485436893203884	10000
sc5rJUQ064	Cycling cells	0.0336035867208509	s1 10000	0.0883495145631068	10000
sc5rJUQ064	Endothelial cells	0.174778090540413	s1 10000	0.0533980582524272	10000
sc5rJUQ064	Epithelial cells	0.278645047102588	s1 10000	0.663106796116505	10000
sc5rJUQ064	Mesenchymal cells	0.273406062288534	s1 10000	0.054368932038835	10000
sc5rJUQ064	Myeloid cells	0.18442354748441	s1 10000	0.0388349514563107	10000
sc5rJUQ064	Myoepithelial cells	0	s1 10000	0.0300970873786408	10000
sc5rJUQ064	T cells	0.0551436658632041	s1 10000	0.0669902912621359	10000
scrJUQ059	B cells	0.0447108041747225	s1 10000	0.0434782608695652	10000
scrJUQ059	Cycling cells	0.115813773187273	s1 10000	0.0668080593849417	10000
scrJUQ059	Endothelial cells	0.00268821631100463	s1 10000	0.00424178154825027	10000
scrJUQ059	Epithelial cells	0	s1 10000	0.0477200424178155	10000
scrJUQ059	Mesenchymal cells	0.00046282561600722	s1 10000	0.0031813361611877	10000
scrJUQ059	Myeloid cells	0.163458273751798	s1 10000	0.277836691410392	10000
scrJUQ059	Myoepithelial cells	0.00677849464125863	s1 10000	0.00424178154825027	10000
scrJUQ059	T cells	0.666087612317936	s1 10000	0.552492046659597	10000
scrJUQ068	B cells	0.0513326404755391	s1 10000	0.0391722099039172	10000
scrJUQ068	Cycling cells	0	s1 10000	0.0524759793052476	10000
scrJUQ068	Endothelial cells	0	s1 10000	0.00665188470066519	10000
scrJUQ068	Epithelial cells	0.366883236499967	s1 10000	0.317073170731707	10000
scrJUQ068	Mesenchymal cells	0.0242504752005157	s1 10000	0.00960827790096083	10000
scrJUQ068	Myeloid cells	0.191319152079233	s1 10000	0.172949002217295	10000
scrJUQ068	Myoepithelial cells	0.122608730921559	s1 10000	0.104951958610495	10000
scrJUQ068	T cells	0.243605764823186	s1 10000	0.297117516629712	10000
scrJUQ070	B cells	0	s1 10000	0.0163934426229508	10000
scrJUQ070	Cycling cells	0.0499228046335529	s1 10000	0.0601092896174863	10000
scrJUQ070	Endothelial cells	0.114423526971949	s1 10000	0.092896174863388	10000
scrJUQ070	Epithelial cells	0.357688268409319	s1 10000	0.344262295081967	10000
scrJUQ070	Mesenchymal cells	0.0801206635771885	s1 10000	0.0273224043715847	10000
scrJUQ070	Myeloid cells	0.0121485119712996	s1 10000	0.0163934426229508	10000
scrJUQ070	Myoepithelial cells	0.11304549172098	s1 10000	0.114754098360656	10000
scrJUQ070	T cells	0.272650732715711	s1 10000	0.327868852459016	10000
scrJUQ072	B cells	0.0510053266421013	s1 10000	0.120689655172414	10000
scrJUQ072	Cycling cells	0.0545747957326558	s1 10000	0.0431034482758621	10000
scrJUQ072	Endothelial cells	0.0229492859257454	s1 10000	0.0431034482758621	10000
scrJUQ072	Epithelial cells	0.0314532856978367	s1 10000	0.0689655172413793	10000
scrJUQ072	Mesenchymal cells	0.261851553365144	s1 10000	0.120689655172414	10000
scrJUQ072	Myeloid cells	0.0861111123788091	s1 10000	0.0948275862068965	10000
scrJUQ072	Myoepithelial cells	0.0477695905618858	s1 10000	0.0431034482758621	10000
scrJUQ072	T cells	0.444285049695822	s1 10000	0.46551724137931	10000
CID3946	B cells	0	s2 10000	0.00662251655629139	10000
CID3946	Cycling cells	0	s2 10000	0	10000
CID3946	Endothelial cells	0.193254133275594	s2 10000	0.0794701986754967	10000
CID3946	Epithelial cells	0.00792460767269666	s2 10000	0	10000
CID3946	Mesenchymal cells	0.377219512366354	s2 10000	0.317880794701987	10000
CID3946	Myeloid cells	0.092820248577105	s2 10000	0.145695364238411	10000
CID3946	Myoepithelial cells	0.0062398278761942	s2 10000	0.311258278145695	10000
CID3946	T cells	0.322541670232056	s2 10000	0.139072847682119	10000
CID44041	B cells	0	s2 10000	0.0896279594137542	10000
CID44041	Cycling cells	0.0429164155075473	s2 10000	0	10000
CID44041	Endothelial cells	0.120773635460768	s2 10000	0.0653889515219842	10000
CID44041	Epithelial cells	0.109490632335428	s2 10000	0.0586245772266065	10000
CID44041	Mesenchymal cells	0.380124102344587	s2 10000	0.328072153325817	10000
CID44041	Myeloid cells	0.0830105384057407	s2 10000	0.04847801578354	10000
CID44041	Myoepithelial cells	0.040500211902112	s2 10000	0.0586245772266065	10000
CID44041	T cells	0.223184464043817	s2 10000	0.351183765501691	10000
CID4465	B cells	0.566228238249558	s2 10000	0.126721763085399	10000
CID4465	Cycling cells	0.105326557280396	s2 10000	0.143250688705234	10000
CID4465	Endothelial cells	0.109811651165282	s2 10000	0.195592286501377	10000
CID4465	Epithelial cells	0.0793936167992691	s2 10000	0.112947658402204	10000
CID4465	Mesenchymal cells	0.107911861722946	s2 10000	0.201101928374656	10000
CID4465	Myeloid cells	0.0307066163984325	s2 10000	0.154269972451791	10000
CID4465	Myoepithelial cells	0.00062145838411553	s2 10000	0.0550964187327824	10000
CID4465	T cells	0	s2 10000	0.0110192837465565	10000
CID4495	B cells	0.0956326771115298	s2 10000	0.197663096397274	10000
CID4495	Cycling cells	0.144632313836556	s2 10000	0.0477117818889971	10000
CID4495	Endothelial cells	0.0441894231489434	s2 10000	0.0118792599805258	10000
CID4495	Epithelial cells	0.0339432920719744	s2 10000	0.122882181110029	10000
CID4495	Mesenchymal cells	0.02621864408314	s2 10000	0.020253164556962	10000
CID4495	Myeloid cells	0.191172773497422	s2 10000	0.0882181110029211	10000
CID4495	Myoepithelial cells	0.00018530132331174	s2 10000	0.0183057448880234	10000
CID4495	T cells	0.464025574927123	s2 10000	0.493086660175268	10000
CID44971	B cells	0.00047773637025305	s2 10000	0.0667886550777676	10000
CID44971	Cycling cells	0.0986626747540219	s2 10000	0.0309240622140897	10000
CID44971	Endothelial cells	0.0404572874959434	s2 10000	0.0237877401646844	10000
CID44971	Epithelial cells	0.0730811444872588	s2 10000	0.0737419945105215	10000
CID44971	Mesenchymal cells	0.110140091442623	s2 10000	0.0830741079597438	10000
CID44971	Myeloid cells	0.0993872672642497	s2 10000	0.0713632204940531	10000
CID44971	Myoepithelial cells	0.0326412980954452	s2 10000	0.0221408966148216	10000
CID44971	T cells	0.545152500090205	s2 10000	0.628179322964319	10000
CID44991	B cells	0.32667396476187	s2 10000	0.345881310894597	10000
CID44991	Cycling cells	0.190541201437402	s2 10000	0.062444641275465	10000
CID44991	Endothelial cells	0.0249828259907491	s2 10000	0.0101860053144376	10000
CID44991	Epithelial cells	0.171179379429215	s2 10000	0.224977856510186	10000
CID44991	Mesenchymal cells	0.13212142396484	s2 10000	0.0925597874224978	10000
CID44991	Myeloid cells	0.0698224354903753	s2 10000	0.0562444641275465	10000
CID44991	Myoepithelial cells	0	s2 10000	0.0146147032772365	10000
CID44991	T cells	0.0846787689255488	s2 10000	0.193091231178034	10000
CID4513	B cells	0	s2 10000	0.0100102669404517	10000
CID4513	Cycling cells	0.135729138407666	s2 10000	0.0364476386036961	10000
CID4513	Endothelial cells	0.0432774546686533	s2 10000	0.016170431211499	10000
CID4513	Epithelial cells	0	s2 10000	0.0541581108829569	10000
CID4513	Mesenchymal cells	0.00957346584374737	s2 10000	0.0269507186858316	10000
CID4513	Myeloid cells	0.552183331975018	s2 10000	0.561088295687885	10000
CID4513	Myoepithelial cells	0.0131894851881572	s2 10000	0.0156570841889117	10000
CID4513	T cells	0.246047123916759	s2 10000	0.279517453798768	10000
CID4515	B cells	0.169679370713005	s2 10000	0.23578431372549	10000
CID4515	Cycling cells	0.0511759566885851	s2 10000	0.0602941176470588	10000
CID4515	Endothelial cells	0.0722448565771626	s2 10000	0.0450980392156863	10000
CID4515	Epithelial cells	0.312374208706596	s2 10000	0.21078431372549	10000
